,vessel_no,L,c0,r
0,33,0.08,5.11,0.0058850000000000005
1,34,0.057999999999999996,5.5,0.00385
2,35,0.145,7.05,0.0034200000000000003
3,36,0.045,10.1,0.002
4,37,0.113,7.88,0.002
5,38,0.44299999999999995,8.1,0.002945
6,41,0.344,11.98,0.0017499999999999998
7,42,0.322,9.78,0.0025
8,49,0.057999999999999996,5.5,0.00385
9,50,0.145,7.05,0.0034200000000000003
10,51,0.045,10.1,0.002
11,52,0.113,7.88,0.002
12,53,0.44299999999999995,8.1,0.002945
13,54,0.344,11.98,0.0017499999999999998
14,55,0.322,9.78,0.0025
15,160,0.02,1.616,0.00425
16,171,0.075,2.1,0.00226
17,172,0.075,2.1,0.00226
18,173,0.17300000000000001,2.376,0.0015
19,174,0.16,2.376,0.0015
20,175,0.19,1.798,0.0034000000000000002
21,176,0.19,1.798,0.0034000000000000002
22,177,0.254,1.775,0.0034999999999999996
23,178,0.254,1.775,0.0034999999999999996
24,179,0.126,1.775,0.0034999999999999996
25,180,0.126,1.775,0.0034999999999999996
26,181,0.14400000000000002,1.472,0.005
27,182,0.14400000000000002,1.472,0.005
28,183,0.05,2.376,0.0015
29,184,0.05,2.376,0.0015
30,185,0.02,1.342,0.00575
31,186,0.02,1.342,0.00575
32,203,0.08,1.053,0.00762
33,204,0.038,1.342,0.00575
34,205,0.038,1.342,0.00575
35,209,0.23,2.184,0.002
36,210,0.23,2.184,0.0028000000000000004
37,212,0.17300000000000001,2.376,0.0015
38,213,0.16,2.376,0.0015
39,214,0.02,1.3,0.006
40,215,0.02,1.3,0.006
41,216,0.038,2.667,0.001
42,217,0.038,2.667,0.001
43,244,0.28,1.616,0.00425
44,251,0.17300000000000001,2.376,0.0015
45,252,0.16,2.376,0.0015
46,253,0.375,2.308,0.0016649999999999998
47,254,0.375,2.308,0.0016649999999999998
48,255,0.16,2.376,0.0015
49,256,0.17300000000000001,2.376,0.0015
50,257,0.3,2.168,0.00205
51,258,0.3,2.168,0.00205
52,98,0.71,1.735,0.00368
