,I0,I1L,I2L,I3L,I4L,I5L,I6L,I7L,I8L,I9L,I10L,I11L,I12L,I13L,I14L,I15L,I16L,I17L,I18L,I19L,I20L,I21L,I23L,I25L,I1R,I2R,I3R,I4R,I5R,I6R,I7R,I8R,I9R,I10R,I11R,I12R,I13R,I14R,I15R,I16R,I17R,I18R,I19R,I20R,I21R,I23R,I25R,I22,I24,I26,sol
0,R0,R1L,R18L+R8L+R2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R20L,0,R23L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R24,0,V
1,R0,R1L,R18L+R8L+R2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R20L,0,0,R25L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R26,V
2,R0,R1L,R18L+R8L+R2L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R20L,R21L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R22,0,0,V
3,R0,R1L,0,R3L,R15L+R9L+R4L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R19L,R20L,0,R23L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R24,0,V
4,R0,R1L,0,R3L,R15L+R9L+R4L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R19L,R20L,0,0,R25L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R26,V
5,R0,R1L,0,R3L,R15L+R9L+R4L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R19L,R20L,R21L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R22,0,0,V
6,R0,R1L,0,R3L,0,R5L,R13L+R10L+R6L,0,0,0,0,0,0,0,0,0,R16L,0,0,R19L,R20L,0,R23L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R24,0,V
7,R0,R1L,0,R3L,0,R5L,R13L+R10L+R6L,0,0,0,0,0,0,0,0,0,R16L,0,0,R19L,R20L,0,0,R25L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R26,V
8,R0,R1L,0,R3L,0,R5L,R13L+R10L+R6L,0,0,0,0,0,0,0,0,0,R16L,0,0,R19L,R20L,R21L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R22,0,0,V
9,R0,R1L,0,R3L,0,R5L,0,R11L+R12L+R7L,0,0,0,0,0,0,R14L,0,R16L,0,0,R19L,R20L,0,R23L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R24,0,V
10,R0,R1L,0,R3L,0,R5L,0,R11L+R12L+R7L,0,0,0,0,0,0,R14L,0,R16L,0,0,R19L,R20L,0,0,R25L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R26,V
11,R0,R1L,0,R3L,0,R5L,0,R11L+R12L+R7L,0,0,0,0,0,0,R14L,0,R16L,0,0,R19L,R20L,R21L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R22,0,0,V
12,R0,R1L,0,R3L,0,R5L,0,R11L+R12L+R7L,0,0,0,0,0,0,0,0,0,R17L,0,R19L,R20L,0,R23L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R24,0,V
13,R0,R1L,0,R3L,0,R5L,0,R11L+R12L+R7L,0,0,0,0,0,0,0,0,0,R17L,0,R19L,R20L,0,0,R25L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R26,V
14,R0,R1L,0,R3L,0,R5L,0,R11L+R12L+R7L,0,0,0,0,0,0,0,0,0,R17L,0,R19L,R20L,R21L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R22,0,0,V
15,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,R18R+R8R+R2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R20R,0,R23R,0,0,R24,0,V
16,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,R18R+R8R+R2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R20R,0,0,R25R,0,0,R26,V
17,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,R18R+R8R+R2R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R20R,R21R,0,0,R22,0,0,V
18,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,R15R+R9R+R4R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R19R,R20R,0,R23R,0,0,R24,0,V
19,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,R15R+R9R+R4R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R19R,R20R,0,0,R25R,0,0,R26,V
20,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,R15R+R9R+R4R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R19R,R20R,R21R,0,0,R22,0,0,V
21,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,R13R+R10R+R6R,0,0,0,0,0,0,0,0,0,R16R,0,0,R19R,R20R,0,R23R,0,0,R24,0,V
22,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,R13R+R10R+R6R,0,0,0,0,0,0,0,0,0,R16R,0,0,R19R,R20R,0,0,R25R,0,0,R26,V
23,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,R13R+R10R+R6R,0,0,0,0,0,0,0,0,0,R16R,0,0,R19R,R20R,R21R,0,0,R22,0,0,V
24,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,0,R11R+R12R+R7R,0,0,0,0,0,0,R14R,0,R16R,0,0,R19R,R20R,0,R23R,0,0,R24,0,V
25,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,0,R11R+R12R+R7R,0,0,0,0,0,0,R14R,0,R16R,0,0,R19R,R20R,0,0,R25R,0,0,R26,V
26,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,0,R11R+R12R+R7R,0,0,0,0,0,0,R14R,0,R16R,0,0,R19R,R20R,R21R,0,0,R22,0,0,V
27,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,0,R11R+R12R+R7R,0,0,0,0,0,0,0,0,0,R17R,0,R19R,R20R,0,R23R,0,0,R24,0,V
28,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,0,R11R+R12R+R7R,0,0,0,0,0,0,0,0,0,R17R,0,R19R,R20R,0,0,R25R,0,0,R26,V
29,R0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R1R,0,R3R,0,R5R,0,R11R+R12R+R7R,0,0,0,0,0,0,0,0,0,R17R,0,R19R,R20R,R21R,0,0,R22,0,0,V
